,Year,chl_a,spring,summer,autumn,winter
0,1978,4.9575,,3.715,2.6,9.8
1,1979,11.600000000000001,12.0,2.5,8.6,23.3
2,1980,8.86,2.5,5.9,8.6,18.7
3,1981,10.725000000000001,5.133333333333334,12.466666666666667,20.933333333333334,4.366666666666667
4,1982,21.76666666666667,5.133333333333333,22.2,45.300000000000004,14.433333333333335
5,1983,14.391666666666666,6.633333333333333,11.466666666666667,27.433333333333334,12.033333333333331
6,1984,7.433333333333334,6.033333333333334,8.1,10.200000000000001,5.3999999999999995
7,1985,17.983333333333334,10.033333333333333,17.7,32.766666666666666,11.433333333333332
8,1986,11.566666666666665,9.533333333333333,18.53333333333333,11.233333333333333,6.966666666666666
9,1987,11.675000000000002,6.8,17.333333333333332,16.533333333333335,6.033333333333334
10,1988,18.974999999999998,9.433333333333334,17.099999999999998,37.0,12.366666666666665
11,1989,19.85,34.5,21.133333333333333,13.466666666666667,10.3
12,1990,21.554545454545455,5.75,13.366666666666667,38.333333333333336,23.5
13,1991,19.608333333333334,11.666666666666666,29.0,27.0,10.766666666666666
14,1992,15.600000000000001,22.8,14.533333333333331,2.6666666666666665,22.400000000000002
15,1993,19.458333333333332,17.133333333333336,29.900000000000002,22.033333333333335,8.766666666666666
16,1994,16.900000000000002,14.866666666666667,10.299999999999999,33.46666666666666,8.966666666666667
17,1995,16.71666666666667,10.433333333333332,15.333333333333334,29.066666666666666,12.033333333333331
18,1996,18.133333333333336,16.03333333333333,5.966666666666668,31.0,19.53333333333333
19,1997,16.5,21.2,13.666666666666666,9.700000000000001,21.433333333333334
20,1998,31.975000000000005,25.96666666666667,11.6,85.0,5.333333333333333
21,1999,20.333333333333332,10.799999999999999,27.933333333333334,25.5,17.099999999999998
22,2000,19.625000000000004,12.299999999999999,13.1,23.900000000000002,29.2
23,2001,12.541666666666666,15.133333333333333,11.5,17.533333333333335,6.0
24,2002,21.099999999999998,19.366666666666664,11.466666666666667,27.733333333333334,25.833333333333332
25,2003,16.191666666666666,25.96666666666667,10.966666666666667,10.0,17.833333333333332
26,2004,98.25833333333333,6.566666666666667,17.0,365.3333333333333,4.133333333333333
27,2005,18.855833333333333,13.299999999999999,11.566666666666665,31.266666666666666,19.29
28,2006,18.4125,16.07,12.39,21.05,24.14
29,2007,7.481666666666666,2.9633333333333334,6.89,12.82,7.253333333333333
30,2008,17.547500000000003,13.116666666666667,12.293333333333335,34.11333333333334,10.666666666666666
31,2009,10.967500000000001,8.969999999999999,12.773333333333333,4.363333333333333,17.763333333333332
32,2010,12.231666666666667,9.133333333333333,6.333333333333333,7.72,25.740000000000006
33,2011,10.545833333333334,6.1499999999999995,11.966666666666667,10.933333333333332,13.133333333333333
34,2012,11.291666666666666,15.666666666666666,7.5,14.633333333333333,7.366666666666667
35,2013,12.158333333333333,13.966666666666667,4.166666666666667,14.0,16.5
36,2014,11.766666666666667,14.9,5.733333333333333,14.333333333333334,12.1
37,2015,20.175,10.833333333333334,21.53333333333333,17.033333333333335,31.3
38,2016,14.646218674750001,2.5255608373333334,8.332508131333332,12.852829623666667,34.87397610666667
39,2017,12.411393593076923,8.887029177499999,7.960000000000001,14.1,19.87333333333333
40,2018,11.0,11.24,6.5633333333333335,15.923333333333332,8.82
